DateRep;porcentajeNIVELIII
7/1/20;.6896551724137932
7/2/20;.6896551724137932
7/3/20;.6896551724137932
7/4/20;.7816091954022989
7/5/20;.7241379310344828
7/6/20;.6065573770491803
7/7/20;.6475409836065574
7/8/20;.6585365853658537
7/9/20;.6747967479674797
7/10/20;.7317073170731707
7/11/20;.7642276422764228
7/12/20;.7886178861788618
7/13/20;.4573991031390134
7/14/20;.4618834080717489
7/15/20;.4977578475336323
7/16/20;.5739910313901345
7/17/20;.6547085201793722
7/18/20;.7072072072072072
7/19/20;.7432432432432432
7/20/20;.8008130081300813
7/21/20;.7926829268292683
7/22/20;.7926829268292683
7/23/20;.805668016194332
7/24/20;.9068825910931174
7/25/20;.9109311740890689
7/26/20;.9068825910931174
7/27/20;.9392712550607287
7/28/20;.9311740890688259
7/29/20;.9757085020242915
7/30/20;1.032388663967611
7/31/20;1.076923076923077
8/1/20;1.044534412955466
8/2/20;1.076923076923077
8/3/20;1.109311740890688
8/4/20;.9961389961389962
8/5/20;1.055900621118012
8/6/20;1.130434782608696
8/7/20;1.110778443113772
8/8/20;1.149700598802395
8/9/20;1.104790419161677
8/10/20;1.083832335329341
8/11/20;1.117994100294985
8/12/20;1.233038348082596
8/13/20;1.113207547169811
8/14/20;1.091644204851752
8/15/20;1.091644204851752
8/16/20;1.091644204851752
8/17/20;1.08355795148248
8/18/20;1.091644204851752
8/19/20;1.097035040431267
8/20/20;1.070080862533693
8/21/20;1.118279569892473
8/22/20;1.096774193548387
8/23/20;1.104838709677419
8/24/20;1.098092643051771
8/25/20;1.076712328767123
8/26/20;1.112328767123288
8/27/20;1.106849315068493
8/28/20;1.112328767123288
8/29/20;1.101369863013699
8/30/20;1.084931506849315
8/31/20;.8537234042553191
9/1/20;.8571428571428571
9/2/20;.798469387755102
9/3/20;.7925407925407926
9/4/20;.8183962264150944
9/5/20;.8066037735849057
9/6/20;.8349056603773585
9/7/20;.8278301886792453
9/8/20;.7311320754716981
9/9/20;.6866666666666667
9/10/20;.6947608200455581
9/11/20;.6924829157175398
9/12/20;.6788154897494305
9/13/20;.6469248291571754
9/14/20;.6309794988610479
9/15/20;.6241457858769932
9/16/20;.6036446469248291
9/17/20;.5990888382687927
9/18/20;.6
9/19/20;.6096385542168675
9/20/20;.6072289156626506
9/21/20;.6
9/22/20;.52
9/23/20;.5325
9/24/20;.5331695331695332
9/25/20;.5085995085995086
9/26/20;.5233415233415234
9/27/20;.5331695331695332
9/28/20;.5331695331695332
9/29/20;.5233415233415234
9/30/20;.5331695331695332
10/1/20;.4914004914004914
10/2/20;.4643734643734644
10/3/20;.4520884520884521
10/4/20;.4531645569620253
10/5/20;.4481012658227848
10/6/20;.4481012658227848
10/7/20;.4430379746835443
10/8/20;.4607594936708861
10/9/20;.4227848101265823
10/10/20;.4354430379746835
10/11/20;.4632911392405064
10/12/20;.4215938303341902
10/13/20;.4241645244215938
10/14/20;.4198473282442748
10/15/20;.3944020356234097
10/16/20;.3994910941475827
10/17/20;.4020356234096692
10/18/20;.4198473282442748
10/19/20;.415625
10/20/20;.39375
10/21/20;.409375
10/22/20;.3838709677419355
10/23/20;.3322580645161291
10/24/20;.3064516129032258
10/25/20;.2903225806451613
10/26/20;.2838709677419355
10/27/20;.3
10/28/20;.2806451612903226
10/29/20;.2718446601941748
10/30/20;.2815533980582524
10/31/20;.215158924205379
11/1/20;.2004889975550122
11/2/20;.1735941320293399
11/3/20;.1613691931540342
11/4/20;.1726618705035971
11/5/20;.1870503597122302
11/6/20;.2134292565947242
11/7/20;.2182254196642686
11/8/20;.2965116279069768
11/9/20;.3226744186046512
11/10/20;.2936046511627907
11/11/20;.3052325581395349
11/12/20;.2965116279069768
11/13/20;.2877906976744186
11/14/20;.3284883720930232
11/15/20;.3284457478005865
11/16/20;.2991202346041056
11/17/20;.2668621700879765
11/18/20;.2844574780058651
11/19/20;.2873900293255132
11/20/20;.2961876832844575
11/21/20;.2873900293255132
11/22/20;.3372434017595308
11/23/20;.3090379008746356
11/24/20;.3061224489795918
11/25/20;.3002915451895044
11/26/20;.2915451895043732
11/27/20;.3206997084548105
11/28/20;.3236151603498542
