DateRep;Country;Deaths_cumsum
10/23/20;Espinar;13
10/23/20;La Convencion;46
10/23/20;Paruro;8
10/23/20;Paucartambo;1
10/23/20;Quispicanchi;21
10/23/20;Urubamba;14
10/24/20;Acomayo;5
10/24/20;Anta;20
10/24/20;Calca;9
10/24/20;Canas;3
10/24/20;Canchis;43
10/24/20;Chumbivilcas;3
10/24/20;Cusco;1031
10/24/20;Espinar;13
10/24/20;La Convencion;46
10/24/20;Paruro;8
10/24/20;Paucartambo;1
10/24/20;Quispicanchi;21
10/24/20;Urubamba;14
10/25/20;Acomayo;5
10/25/20;Anta;21
10/25/20;Calca;9
10/25/20;Canas;3
10/25/20;Canchis;43
10/25/20;Chumbivilcas;3
10/25/20;Cusco;1032
10/25/20;Espinar;13
10/25/20;La Convencion;46
10/25/20;Paruro;8
10/25/20;Paucartambo;1
10/25/20;Quispicanchi;21
10/25/20;Urubamba;14
10/26/20;Acomayo;5
10/26/20;Anta;21
10/26/20;Calca;9
10/26/20;Canas;3
10/26/20;Canchis;43
10/26/20;Chumbivilcas;3
10/26/20;Cusco;1033
10/26/20;Espinar;13
10/26/20;La Convencion;46
10/26/20;Paruro;8
10/26/20;Paucartambo;1
10/26/20;Quispicanchi;21
10/26/20;Urubamba;14
10/27/20;Acomayo;5
10/27/20;Anta;21
10/27/20;Calca;9
10/27/20;Canas;3
10/27/20;Canchis;43
10/27/20;Chumbivilcas;3
10/27/20;Cusco;1035
10/27/20;Espinar;13
10/27/20;La Convencion;46
10/27/20;Paruro;8
10/27/20;Paucartambo;1
10/27/20;Quispicanchi;21
10/27/20;Urubamba;14
10/28/20;Acomayo;5
10/28/20;Anta;21
10/28/20;Calca;9
10/28/20;Canas;3
10/28/20;Canchis;43
10/28/20;Chumbivilcas;3
10/28/20;Cusco;1039
10/28/20;Espinar;13
10/28/20;La Convencion;47
10/28/20;Paruro;8
10/28/20;Paucartambo;1
10/28/20;Quispicanchi;21
10/28/20;Urubamba;14
10/29/20;Acomayo;5
10/29/20;Anta;22
10/29/20;Calca;9
10/29/20;Canas;3
10/29/20;Canchis;43
10/29/20;Chumbivilcas;3
10/29/20;Cusco;1040
10/29/20;Espinar;13
10/29/20;La Convencion;48
10/29/20;Paruro;8
10/29/20;Paucartambo;1
10/29/20;Quispicanchi;21
10/29/20;Urubamba;14
10/3/20;Acomayo;4
10/3/20;Anta;19
10/3/20;Calca;9
10/3/20;Canas;2
10/3/20;Canchis;40
10/3/20;Chumbivilcas;3
10/3/20;Cusco;994
10/3/20;Espinar;13
10/3/20;La Convencion;44
10/3/20;Paruro;7
10/3/20;Paucartambo;1
10/3/20;Quispicanchi;20
10/3/20;Urubamba;13
10/30/20;Acomayo;5
10/30/20;Anta;22
10/30/20;Calca;9
10/30/20;Canas;3
10/30/20;Canchis;43
10/30/20;Chumbivilcas;3
10/30/20;Cusco;1042
10/30/20;Espinar;13
10/30/20;La Convencion;48
10/30/20;Paruro;8
10/30/20;Paucartambo;1
10/30/20;Quispicanchi;21
10/30/20;Urubamba;14
10/31/20;Acomayo;5
10/31/20;Anta;22
10/31/20;Calca;9
10/31/20;Canas;3
10/31/20;Canchis;43
10/31/20;Chumbivilcas;3
10/31/20;Cusco;1042
10/31/20;Espinar;13
10/31/20;La Convencion;48
10/31/20;Paruro;8
10/31/20;Paucartambo;1
10/31/20;Quispicanchi;21
10/31/20;Urubamba;14
10/4/20;Acomayo;4
10/4/20;Anta;19
10/4/20;Calca;9
10/4/20;Canas;2
10/4/20;Canchis;40
10/4/20;Chumbivilcas;3
10/4/20;Cusco;995
10/4/20;Espinar;13
10/4/20;La Convencion;44
10/4/20;Paruro;7
10/4/20;Paucartambo;1
10/4/20;Quispicanchi;20
10/4/20;Urubamba;13
10/5/20;Acomayo;4
10/5/20;Anta;19
10/5/20;Calca;9
10/5/20;Canas;2
10/5/20;Canchis;40
10/5/20;Chumbivilcas;3
10/5/20;Cusco;997
10/5/20;Espinar;13
10/5/20;La Convencion;44
10/5/20;Paruro;7
10/5/20;Paucartambo;1
10/5/20;Quispicanchi;21
10/5/20;Urubamba;13
10/6/20;Acomayo;4
10/6/20;Anta;19
10/6/20;Calca;9
10/6/20;Canas;2
10/6/20;Canchis;41
10/6/20;Chumbivilcas;3
10/6/20;Cusco;999
10/6/20;Espinar;13
10/6/20;La Convencion;44
10/6/20;Paruro;7
10/6/20;Paucartambo;1
10/6/20;Quispicanchi;21
10/6/20;Urubamba;13
10/7/20;Acomayo;4
10/7/20;Anta;19
10/7/20;Calca;9
10/7/20;Canas;2
10/7/20;Canchis;41
10/7/20;Chumbivilcas;3
10/7/20;Cusco;1000
10/7/20;Espinar;13
10/7/20;La Convencion;44
10/7/20;Paruro;7
10/7/20;Paucartambo;1
10/7/20;Quispicanchi;21
10/7/20;Urubamba;13
10/8/20;Acomayo;4
10/8/20;Anta;19
10/8/20;Calca;9
10/8/20;Canas;2
10/8/20;Canchis;41
10/8/20;Chumbivilcas;3
10/8/20;Cusco;1004
10/8/20;Espinar;13
10/8/20;La Convencion;44
10/8/20;Paruro;7
10/8/20;Paucartambo;1
10/8/20;Quispicanchi;21
10/8/20;Urubamba;13
10/9/20;Acomayo;4
10/9/20;Anta;19
10/9/20;Calca;9
10/9/20;Canas;2
10/9/20;Canchis;41
10/9/20;Chumbivilcas;3
10/9/20;Cusco;1004
10/9/20;Espinar;13
10/9/20;La Convencion;44
10/9/20;Paruro;7
10/9/20;Paucartambo;1
10/9/20;Quispicanchi;21
10/9/20;Urubamba;13
11/1/20;Acomayo;5
11/1/20;Anta;22
11/1/20;Calca;9
11/1/20;Canas;3
11/1/20;Canchis;43
11/1/20;Chumbivilcas;3
11/1/20;Cusco;1044
11/1/20;Espinar;13
11/1/20;La Convencion;48
11/1/20;Paruro;8
11/1/20;Paucartambo;1
11/1/20;Quispicanchi;21
11/1/20;Urubamba;14
11/10/20;Acomayo;6
11/10/20;Anta;22
11/10/20;Calca;9
11/10/20;Canas;3
11/10/20;Canchis;43
11/10/20;Chumbivilcas;3
11/10/20;Cusco;1052
11/10/20;Espinar;13
11/10/20;La Convencion;49
11/10/20;Paruro;8
11/10/20;Paucartambo;1
11/10/20;Quispicanchi;23
11/10/20;Urubamba;14
11/11/20;Acomayo;6
11/11/20;Anta;22
11/11/20;Calca;9
11/11/20;Canas;3
11/11/20;Canchis;43
11/11/20;Chumbivilcas;3
11/11/20;Cusco;1053
11/11/20;Espinar;13
11/11/20;La Convencion;49
11/11/20;Paruro;8
11/11/20;Paucartambo;1
11/11/20;Quispicanchi;24
