DateRep;Country;Cases_cumsum
10/22/20;Urubamba;1744
10/23/20;Acomayo;389
10/23/20;Anta;1834
10/23/20;Calca;1175
10/23/20;Canas;311
10/23/20;Canchis;3241
10/23/20;Chumbivilcas;815
10/23/20;Cusco;44723
10/23/20;Espinar;1940
10/23/20;La Convencion;6211
10/23/20;Paruro;432
10/23/20;Paucartambo;464
10/23/20;Quispicanchi;2445
10/23/20;Urubamba;1754
10/24/20;Acomayo;389
10/24/20;Anta;1837
10/24/20;Calca;1178
10/24/20;Canas;311
10/24/20;Canchis;3249
10/24/20;Chumbivilcas;817
10/24/20;Cusco;44838
10/24/20;Espinar;1944
10/24/20;La Convencion;6233
10/24/20;Paruro;432
10/24/20;Paucartambo;468
10/24/20;Quispicanchi;2450
10/24/20;Urubamba;1759
10/25/20;Acomayo;389
10/25/20;Anta;1837
10/25/20;Calca;1178
10/25/20;Canas;314
10/25/20;Canchis;3254
10/25/20;Chumbivilcas;817
10/25/20;Cusco;44849
10/25/20;Espinar;1947
10/25/20;La Convencion;6234
10/25/20;Paruro;432
10/25/20;Paucartambo;468
10/25/20;Quispicanchi;2451
10/25/20;Urubamba;1760
10/26/20;Acomayo;389
10/26/20;Anta;1840
10/26/20;Calca;1186
10/26/20;Canas;316
10/26/20;Canchis;3263
10/26/20;Chumbivilcas;818
10/26/20;Cusco;44998
10/26/20;Espinar;1967
10/26/20;La Convencion;6253
10/26/20;Paruro;433
10/26/20;Paucartambo;471
10/26/20;Quispicanchi;2460
10/26/20;Urubamba;1766
10/27/20;Acomayo;390
10/27/20;Anta;1849
10/27/20;Calca;1234
10/27/20;Canas;317
10/27/20;Canchis;3271
10/27/20;Chumbivilcas;821
10/27/20;Cusco;45084
10/27/20;Espinar;1973
10/27/20;La Convencion;6268
10/27/20;Paruro;434
10/27/20;Paucartambo;472
10/27/20;Quispicanchi;2467
10/27/20;Urubamba;1769
10/28/20;Acomayo;391
10/28/20;Anta;1851
10/28/20;Calca;1253
10/28/20;Canas;320
10/28/20;Canchis;3297
10/28/20;Chumbivilcas;826
10/28/20;Cusco;45167
10/28/20;Espinar;1983
10/28/20;La Convencion;6297
10/28/20;Paruro;435
10/28/20;Paucartambo;473
10/28/20;Quispicanchi;2470
10/28/20;Urubamba;1773
10/29/20;Acomayo;392
10/29/20;Anta;1856
10/29/20;Calca;1256
10/29/20;Canas;321
10/29/20;Canchis;3305
10/29/20;Chumbivilcas;830
10/29/20;Cusco;45269
10/29/20;Espinar;1994
10/29/20;La Convencion;6342
10/29/20;Paruro;437
10/29/20;Paucartambo;476
10/29/20;Quispicanchi;2470
10/29/20;Urubamba;1775
10/3/20;Acomayo;319
10/3/20;Anta;1736
10/3/20;Calca;1026
10/3/20;Canas;277
10/3/20;Canchis;2538
10/3/20;Chumbivilcas;691
10/3/20;Cusco;41621
10/3/20;Espinar;1346
10/3/20;La Convencion;5725
10/3/20;Paruro;294
10/3/20;Paucartambo;378
10/3/20;Quispicanchi;2252
10/3/20;Urubamba;1476
10/30/20;Acomayo;394
10/30/20;Anta;1857
10/30/20;Calca;1258
10/30/20;Canas;323
10/30/20;Canchis;3317
10/30/20;Chumbivilcas;833
10/30/20;Cusco;45346
10/30/20;Espinar;2006
10/30/20;La Convencion;6386
10/30/20;Paruro;452
10/30/20;Paucartambo;479
10/30/20;Quispicanchi;2474
10/30/20;Urubamba;1776
10/31/20;Acomayo;394
10/31/20;Anta;1861
10/31/20;Calca;1262
10/31/20;Canas;323
10/31/20;Canchis;3324
10/31/20;Chumbivilcas;840
10/31/20;Cusco;45406
10/31/20;Espinar;2009
10/31/20;La Convencion;6421
10/31/20;Paruro;467
10/31/20;Paucartambo;480
10/31/20;Quispicanchi;2476
10/31/20;Urubamba;1778
10/4/20;Acomayo;320
10/4/20;Anta;1736
10/4/20;Calca;1028
10/4/20;Canas;277
10/4/20;Canchis;2540
10/4/20;Chumbivilcas;692
10/4/20;Cusco;41689
10/4/20;Espinar;1346
10/4/20;La Convencion;5740
10/4/20;Paruro;294
10/4/20;Paucartambo;378
10/4/20;Quispicanchi;2252
10/4/20;Urubamba;1478
10/5/20;Acomayo;325
10/5/20;Anta;1739
10/5/20;Calca;1058
10/5/20;Canas;277
10/5/20;Canchis;2556
10/5/20;Chumbivilcas;697
10/5/20;Cusco;41843
10/5/20;Espinar;1362
10/5/20;La Convencion;5776
10/5/20;Paruro;295
10/5/20;Paucartambo;383
10/5/20;Quispicanchi;2259
10/5/20;Urubamba;1486
10/6/20;Acomayo;326
10/6/20;Anta;1744
10/6/20;Calca;1068
10/6/20;Canas;277
10/6/20;Canchis;2576
10/6/20;Chumbivilcas;700
10/6/20;Cusco;41970
10/6/20;Espinar;1372
10/6/20;La Convencion;5801
10/6/20;Paruro;297
10/6/20;Paucartambo;383
10/6/20;Quispicanchi;2268
10/6/20;Urubamba;1496
10/7/20;Acomayo;326
10/7/20;Anta;1752
10/7/20;Calca;1071
10/7/20;Canas;278
10/7/20;Canchis;2586
10/7/20;Chumbivilcas;701
10/7/20;Cusco;42067
10/7/20;Espinar;1387
10/7/20;La Convencion;5832
10/7/20;Paruro;297
10/7/20;Paucartambo;384
10/7/20;Quispicanchi;2278
10/7/20;Urubamba;1506
10/8/20;Acomayo;328
10/8/20;Anta;1762
10/8/20;Calca;1076
10/8/20;Canas;280
10/8/20;Canchis;2761
10/8/20;Chumbivilcas;703
10/8/20;Cusco;42143
10/8/20;Espinar;1437
10/8/20;La Convencion;5852
10/8/20;Paruro;318
10/8/20;Paucartambo;384
10/8/20;Quispicanchi;2287
10/8/20;Urubamba;1515
10/9/20;Acomayo;363
10/9/20;Anta;1771
10/9/20;Calca;1081
10/9/20;Canas;283
10/9/20;Canchis;2951
10/9/20;Chumbivilcas;728
10/9/20;Cusco;42231
10/9/20;Espinar;1456
10/9/20;La Convencion;5880
10/9/20;Paruro;379
10/9/20;Paucartambo;387
10/9/20;Quispicanchi;2293
10/9/20;Urubamba;1521
11/1/20;Acomayo;394
11/1/20;Anta;1862
11/1/20;Calca;1263
11/1/20;Canas;323
11/1/20;Canchis;3328
11/1/20;Chumbivilcas;841
11/1/20;Cusco;45430
11/1/20;Espinar;2010
11/1/20;La Convencion;6432
11/1/20;Paruro;467
11/1/20;Paucartambo;480
11/1/20;Quispicanchi;2482
11/1/20;Urubamba;1779
11/10/20;Acomayo;402
11/10/20;Anta;1901
11/10/20;Calca;1287
11/10/20;Canas;349
11/10/20;Canchis;3410
11/10/20;Chumbivilcas;863
11/10/20;Cusco;46485
11/10/20;Espinar;2100
11/10/20;La Convencion;6669
11/10/20;Paruro;480
11/10/20;Paucartambo;494
11/10/20;Quispicanchi;2612
11/10/20;Urubamba;1879
11/11/20;Acomayo;402
11/11/20;Anta;1904
11/11/20;Calca;1293
11/11/20;Canas;350
11/11/20;Canchis;3418
11/11/20;Chumbivilcas;864
11/11/20;Cusco;46566
11/11/20;Espinar;2114
11/11/20;La Convencion;6688
11/11/20;Paruro;482
11/11/20;Paucartambo;498
11/11/20;Quispicanchi;2614
11/11/20;Urubamba;1888
11/12/20;Acomayo;403
11/12/20;Anta;1906
11/12/20;Calca;1295
11/12/20;Canas;350
11/12/20;Canchis;3424
11/12/20;Chumbivilcas;866
11/12/20;Cusco;46648
11/12/20;Espinar;2132
11/12/20;La Convencion;6718
11/12/20;Paruro;483
11/12/20;Paucartambo;499
11/12/20;Quispicanchi;2617
11/12/20;Urubamba;1892
11/13/20;Acomayo;405
11/13/20;Anta;1908
11/13/20;Calca;1296
11/13/20;Canas;350
11/13/20;Canchis;3437
11/13/20;Chumbivilcas;875
11/13/20;Cusco;46714
11/13/20;Espinar;2142
11/13/20;La Convencion;6752
11/13/20;Paruro;491
11/13/20;Paucartambo;501
11/13/20;Quispicanchi;2622
11/13/20;Urubamba;1896
11/14/20;Acomayo;405
11/14/20;Anta;1909
11/14/20;Calca;1300
11/14/20;Canas;351
11/14/20;Canchis;3448
11/14/20;Chumbivilcas;879
11/14/20;Cusco;46771
11/14/20;Espinar;2146
11/14/20;La Convencion;6774
11/14/20;Paruro;492
11/14/20;Paucartambo;502
11/14/20;Quispicanchi;2623
11/14/20;Urubamba;1898
11/15/20;Acomayo;410
11/15/20;Anta;1909
11/15/20;Calca;1301
11/15/20;Canas;353
11/15/20;Canchis;3454
11/15/20;Chumbivilcas;883
11/15/20;Cusco;46780
11/15/20;Espinar;2148
11/15/20;La Convencion;6779
11/15/20;Paruro;493
11/15/20;Paucartambo;503
11/15/20;Quispicanchi;2623
11/15/20;Urubamba;1900
11/16/20;Acomayo;414
11/16/20;Anta;1912
11/16/20;Calca;1306
11/16/20;Canas;355
11/16/20;Canchis;3465
11/16/20;Chumbivilcas;889
11/16/20;Cusco;46863
11/16/20;Espinar;2160
11/16/20;La Convencion;6800
11/16/20;Paruro;495
11/16/20;Paucartambo;506
11/16/20;Quispicanchi;2624
11/16/20;Urubamba;1913
11/17/20;Acomayo;414
11/17/20;Anta;1915
11/17/20;Calca;1309
11/17/20;Canas;355
11/17/20;Canchis;3476
11/17/20;Chumbivilcas;892
11/17/20;Cusco;46947
11/17/20;Espinar;2172
11/17/20;La Convencion;6815
11/17/20;Paruro;495
11/17/20;Paucartambo;507
11/17/20;Quispicanchi;2627
11/17/20;Urubamba;1929
11/18/20;Acomayo;415
11/18/20;Anta;1922
11/18/20;Calca;1312
11/18/20;Canas;357
11/18/20;Canchis;3484
11/18/20;Chumbivilcas;898
11/18/20;Cusco;47018
