DateRep,porcentajeUCI,porcentajeNOUCI,porcentajeNIVELIII,porcentajeTOTAL
7/1/20,.7777777777777778,.6666666666666666,.6896551724137932,.6896551724137932
7/2/20,.7222222222222222,.6811594202898551,.6896551724137932,.6896551724137932
7/3/20,.7222222222222222,.6811594202898551,.6896551724137932,.6896551724137932
7/4/20,.7777777777777778,.782608695652174,.7816091954022989,.7816091954022989
7/5/20,.8888888888888888,.6811594202898551,.7241379310344828,.7241379310344828
7/6/20,.6521739130434783,.5959595959595959,.6065573770491803,.6065573770491803
7/7/20,.6086956521739131,.6565656565656566,.6475409836065574,.6475409836065574
7/8/20,.5769230769230769,.6804123711340206,.6585365853658537,.6585365853658537
7/9/20,.5384615384615384,.711340206185567,.6747967479674797,.6747967479674797
7/10/20,.5769230769230769,.7731958762886598,.7317073170731707,.7317073170731707
7/11/20,.8076923076923077,.7525773195876289,.7642276422764228,.7642276422764228
7/12/20,.7692307692307693,.7938144329896907,.7886178861788618,.7886178861788618
7/13/20,.8076923076923077,.4111675126903553,.4573991031390134,.4573991031390134
7/14/20,.8076923076923077,.4162436548223351,.4618834080717489,.4618834080717489
7/15/20,.7692307692307693,.4619289340101523,.4977578475336323,.4977578475336323
7/16/20,.7692307692307693,.5482233502538071,.5739910313901345,.5739910313901345
7/17/20,.7307692307692307,.6446700507614214,.6547085201793722,.6547085201793722
7/18/20,.8,.6954314720812183,.7072072072072072,.7072072072072072
7/19/20,.76,.7411167512690355,.7432432432432432,.7432432432432432
7/20/20,.8333333333333334,.7972972972972973,.8008130081300813,.8008130081300813
7/21/20,.875,.7837837837837838,.7926829268292683,.7926829268292683
7/22/20,.875,.7837837837837838,.7926829268292683,.7926829268292683
7/23/20,.84,.8018018018018018,.805668016194332,.805668016194332
7/24/20,.84,.9144144144144144,.9068825910931174,.9068825910931174
7/25/20,.92,.9099099099099099,.9109311740890689,.9109311740890689
7/26/20,.88,.9099099099099099,.9068825910931174,.9068825910931174
7/27/20,.88,.9459459459459459,.9392712550607287,.9392712550607287
7/28/20,.92,.9324324324324325,.9311740890688259,.9311740890688259
7/29/20,.92,.9819819819819819,.9757085020242915,.9757085020242915
7/30/20,.92,1.045045045045045,1.032388663967611,1.032388663967611
7/31/20,.96,1.09009009009009,1.076923076923077,1.076923076923077
8/1/20,.96,1.054054054054054,1.044534412955466,.75
8/2/20,.96,1.09009009009009,1.076923076923077,.7732558139534884
8/3/20,.96,1.126126126126126,1.109311740890688,.7965116279069767
8/4/20,.88,1.008547008547009,.9961389961389962,.7247191011235955
8/5/20,.96,1.063973063973064,1.055900621118012,.8114558472553699
8/6/20,.96,1.144781144781145,1.130434782608696,.8687350835322196
8/7/20,.9565217391304348,1.122186495176849,1.110778443113772,.8607888631090487
8/8/20,.9565217391304348,1.163987138263666,1.149700598802395,.8909512761020881
8/9/20,.9565217391304348,1.115755627009646,1.104790419161677,.9164733178654292
8/10/20,1.043478260869565,1.086816720257235,1.083832335329341,.9071925754060325
8/11/20,1.043478260869565,1.123417721518987,1.117994100294985,.9380733944954128
8/12/20,1.043478260869565,1.246835443037975,1.233038348082596,1.041284403669725
8/13/20,1.043478260869565,1.117816091954023,1.113207547169811,.9636752136752137
8/14/20,1.043478260869565,1.094827586206897,1.091644204851752,.938034188034188
8/15/20,1.043478260869565,1.094827586206897,1.091644204851752,.938034188034188
8/16/20,1.043478260869565,1.094827586206897,1.091644204851752,.938034188034188
8/17/20,1.043478260869565,1.086206896551724,1.08355795148248,.9273504273504274
8/18/20,1.043478260869565,1.094827586206897,1.091644204851752,.9316239316239316
8/19/20,1.043478260869565,1.100574712643678,1.097035040431267,.9358974358974359
8/20/20,1.043478260869565,1.07183908045977,1.070080862533693,.9145299145299145
8/21/20,1.043478260869565,1.123209169054441,1.118279569892473,.9676025917926566
8/22/20,1,1.103151862464183,1.096774193548387,.9481641468682506
8/23/20,1,1.111747851002865,1.104838709677419,.9546436285097192
8/24/20,1,1.104651162790698,1.098092643051771,.9606986899563319
8/25/20,1,1.08187134502924,1.076712328767123,.9298245614035088
8/26/20,1.043478260869565,1.116959064327485,1.112328767123288,.9583333333333334
8/27/20,1.043478260869565,1.111111111111111,1.106849315068493,.9539473684210527
8/28/20,1.043478260869565,1.116959064327485,1.112328767123288,.9583333333333334
8/29/20,1.08695652173913,1.10233918128655,1.101369863013699,.9495614035087719
8/30/20,1.08695652173913,1.084795321637427,1.084931506849315,.9364035087719298
8/31/20,1.041666666666667,.8409090909090909,.8537234042553191,.7484143763213531
9/1/20,1.041666666666667,.8409090909090909,.8571428571428571,.751578947368421
9/2/20,1,.844632768361582,.798469387755102,.7177914110429448
9/3/20,1,.7853260869565217,.7925407925407926,.6939163498098859
9/4/20,1,.8070175438596491,.8183962264150944,.7120921305182342
9/5/20,.96,.7969924812030075,.8066037735849057,.7024952015355086
9/6/20,.96,.8270676691729323,.8349056603773585,.72552783109405
9/7/20,.96,.8195488721804511,.8278301886792453,.7197696737044146
9/8/20,.96,.7167919799498747,.7311320754716981,.6410748560460653
9/9/20,1.037037037037037,.6643026004728132,.6866666666666667,.6051188299817185
9/10/20,.9629629629629629,.6771844660194175,.6947608200455581,.6194029850746269
9/11/20,.9259259259259259,.6771844660194175,.6924829157175398,.6119402985074627
9/12/20,1,.6577669902912622,.6788154897494305,.6063432835820896
9/13/20,1,.6237864077669902,.6469248291571754,.5895522388059702
9/14/20,1,.6067961165048543,.6309794988610479,.5671641791044776
9/15/20,1.037037037037037,.5970873786407767,.6241457858769932,.5727611940298507
